KIT ID Number,Borough,Zipcode,Date Collected,Received Date,First Draw at-the-tap Lead level (µg/l),First Draw at-the-tap copper level (mg/l)
15123249,SOUTH RICHMOND HILL,11419,6/6/15,6/17/15,0,0.012
15123395,STATEN ISLAND,10308,6/6/15,6/16/15,0,0.024
15123354,STATEN ISLAND,10306,6/6/15,6/16/15,0,0.122
15123473,STATEN ISLAND,10310,6/6/15,6/9/15,5,0.166
15123538,BROOKLYN,11234,6/6/15,6/9/15,5,0.176
15123369,STATEN ISLAND,10312,6/6/15,6/12/15,0,0.14
15123410,BROOKLYN,11212,6/6/15,6/9/15,0,0.097
15123349,STATEN ISLAND,10312,6/6/15,6/9/15,1,0.041
15123327,BROOKLYN,11224,6/6/15,6/9/15,0,0.126
15123345,STATEN ISLAND,10309,6/6/15,6/9/15,0,0.104
15123360,STATEN ISLAND,10308,6/6/15,6/15/15,1,0.111
15123416,STATEN ISLAND,10309,6/6/15,6/9/15,0,0.066
15123449,FLUSHING,11358,6/6/15,6/11/15,4,0.133
15123504,STATEN ISLAND,10309,6/6/15,6/11/15,1,0.144
15123229,STATEN ISLAND,10314,6/6/15,6/9/15,0,0.133
15123453,RIDGEWOOD,11385,6/6/15,6/12/15,10,0.192
15123347,STATEN ISLAND,10306,6/6/15,6/11/15,2,0.105
15123535,BROOKLYN,11218,6/6/15,6/9/15,18,0.092
15123238,BROOKLYN,11212,6/6/15,6/11/15,0,0.12
15123465,STATEN ISLAND,10310,6/6/15,6/9/15,1,0.19
15123366,STATEN ISLAND,10314,6/6/15,6/11/15,0,0.146
15123274,WOODSIDE,11377,6/6/15,6/11/15,5,0.173
15123468,STATEN ISLAND,10308,6/7/15,6/11/15,2,0.146
15123300,FLUSHING,11354,6/7/15,6/11/15,5,0.201
15123336,BROOKLYN,11212,6/7/15,6/12/15,0,0.054
15123245,SOUTH OZONE PARK,11420,6/7/15,6/15/15,0,0.143
15123513,RIDGEWOOD,11385,6/7/15,6/11/15,16,0.057
15123244,HOWARD BEACH,11414,6/7/15,6/12/15,0,0.129
15123458,BROOKLYN,11229,6/7/15,6/16/15,6,0.086
15123266,BROOKLYN,11201,6/7/15,6/12/15,2,0.124
15123353,STATEN ISLAND,10312,6/7/15,6/12/15,0,0.188
15123539,JAMAICA,11432,6/7/15,6/11/15,4,0.234
15123319,FLUSHING,11358,6/7/15,6/10/15,3,0.197
15123533,BRONX,10471,6/7/15,6/15/15,2,0.15
15123408,STATEN ISLAND,10312,6/7/15,6/12/15,0,0.106
15123454,BRONX,10464,6/7/15,6/12/15,4,0.18
15123309,FLUSHING,11358,6/7/15,6/10/15,2,0.099
15123500,LONG ISLAND CITY,11101,6/7/15,6/12/15,2,0.275
15123398,BRONX,10465,6/8/15,6/11/15,4,0.19
15123237,BRONX,10457,6/8/15,6/11/15,0,0.081
15123444,ASTORIA,11105,6/8/15,6/11/15,1,0.14
15123394,STATEN ISLAND,10309,6/8/15,6/16/15,0,0.184
15123262,ASTORIA,11102,6/8/15,6/15/15,6,0.089
15123385,STATEN ISLAND,10309,6/8/15,6/12/15,2,0.078
15123544,BROOKLYN,11234,6/8/15,6/11/15,4,0.137
15123220,BROOKLYN,11215,6/8/15,6/11/15,5,0.124
15123471,JACKSON HEIGHTS,11372,6/8/15,6/16/15,7,0.155
15123303,FOREST HILLS,11375,6/8/15,6/11/15,6,0.103
15123343,BROOKLYN,11212,6/8/15,6/16/15,1,0.148
15123462,BROOKLYN,11229,6/8/15,6/10/15,9,0.104
15123388,STATEN ISLAND,10307,6/8/15,6/11/15,1,0.131
15123466,BROOKLYN,11215,6/8/15,6/12/15,3,0.155
15123536,STATEN ISLAND,10312,6/8/15,6/10/15,0,0.131
15123241,KEW GARDENS,11415,6/8/15,6/11/15,2,0.131
15123358,STATEN ISLAND,10306,6/8/15,6/12/15,3,0.15
15123328,BROOKLYN,11207,6/8/15,6/15/15,0,0.11
15123248,Queens,11435,6/8/15,6/18/15,3,0.157
15123342,STATEN ISLAND,10306,6/8/15,6/11/15,0,0.13
15123380,STATEN ISLAND,10309,6/8/15,6/12/15,6,0.092
15123479,FLUSHING,11354,6/8/15,6/11/15,4,0.169
15123306,JAMAICA,11432,6/8/15,6/15/15,2,0.044
15123472,BROOKLYN,11234,6/9/15,6/15/15,6,0.128
15123242,JAMAICA,11432,6/9/15,6/12/15,16,0.169
15123399,BROOKLYN,11218,6/9/15,6/22/15,12,0.118
15123362,STATEN ISLAND,10306,6/9/15,6/12/15,0,0.141
15123445,OZONE PARK,11417,6/9/15,6/12/15,2,0.163
15123348,STATEN ISLAND,10306,6/9/15,6/15/15,1,0.21
15123402,STATEN ISLAND,10305,6/9/15,6/15/15,6,0.123
15123540,BROOKLYN,11236,6/9/15,6/11/15,0,0.147
15123396,MIDDLE VILLAGE,11379,6/9/15,6/15/15,4,0.128
15123427,RICHMOND HILL,11418,6/9/15,6/12/15,1,0.287
15123291,ELMHURST,11373,6/9/15,6/16/15,13,0.1
15123400,BAYSIDE,11360,6/9/15,6/16/15,0,0.125
15123334,EAST ELMHURST,11369,6/9/15,6/12/15,6,0.183
15123223,STATEN ISLAND,10308,6/9/15,6/17/15,2,0.166
15123269,BROOKLYN,11234,6/9/15,6/12/15,1,0.108
15123527,BROOKLYN,11213,6/9/15,6/12/15,6,0.128
15123298,FLUSHING,11358,6/9/15,6/11/15,25,0.133
15123488,BROOKLYN,11225,6/9/15,6/15/15,4,0.057
